team_name,team_short_name,match_played,win,draw,loss,goal,shot,cross,pass,touch,cleansheet,save,tackle,foul,redcard,yellowcard
Bengaluru FC,BFC,21,14,2,5,40,241,256,9712,12357,8,58,471,293,3.0,33
Chennaiyin FC,CFC,21,11,6,4,31,205,270,8879,11656,8,53,534,302,1.0,47
FC Goa,FCG,20,9,4,7,43,262,212,10800,13064,2,62,483,250,2.0,38
FC Pune City,FCPC,20,9,4,7,31,206,199,8152,10740,7,52,449,268,3.0,38
Mumbai City FC,MCFC,18,7,2,9,25,203,207,6901,9284,3,66,467,279,2.0,37
Jamshedpur FC,JFC,18,7,5,6,16,184,257,5832,8307,7,49,447,270,3.0,34
Kerala Blasters FC,KBFC,18,6,7,5,20,148,219,6871,9224,6,63,469,257,1.0,30
Delhi Dynamos FC,DDFC,18,5,4,9,27,170,295,8703,11001,2,61,424,255,4.0,21
ATK,ATK,18,4,4,10,16,173,269,8157,10352,6,51,342,212,,28
NorthEast United FC,NEUFC,18,3,2,13,12,181,275,7427,9650,2,42,428,238,1.0,31
